sample_index,micros,ax,ay,az
721,2813058,18,89,4388
722,2813444,18,89,4388
723,2813840,18,89,4388
724,2814239,42,71,4396
725,2814633,42,71,4396
726,2815041,15,66,4372
727,2815420,15,66,4372
728,2815817,15,66,4372
729,2816210,-1,60,4363
730,2816624,-1,60,4363
731,2817030,38,51,4365
732,2817416,38,51,4365
733,2817806,38,51,4365
734,2818214,48,53,4389
735,2818601,48,53,4389
736,2819005,48,53,4389
737,2819398,11,45,4382
738,2819786,11,45,4382
739,2820180,30,76,4360
740,2820586,30,76,4360
741,2820977,30,76,4360
742,2821376,40,73,4367
743,2821757,40,73,4367
744,2822156,14,61,4374
745,2822552,14,61,4374
746,2822963,14,61,4374
747,2823349,39,62,4380
748,2823744,39,62,4380
749,2824137,35,67,4365
750,2824536,35,67,4365
751,2824929,35,67,4365
752,2825332,20,61,4338
753,2825719,20,61,4338
754,2826118,27,46,4338
755,2826513,27,46,4338
756,2826907,27,46,4338
757,2827291,34,54,4358
758,2827688,34,54,4358
759,2828057,19,34,4366
760,2828430,19,34,4366
761,2828827,19,34,4366
762,2829226,20,37,4342
763,2829626,20,37,4342
764,2830018,34,55,4350
765,2830410,34,55,4350
766,2830799,34,55,4350
767,2831193,32,42,4385
768,2831587,32,42,4385
769,2831989,32,42,4385
770,2832382,34,30,4378
771,2832777,34,30,4378
772,2833162,21,20,4369
773,2833562,21,20,4369
774,2833954,21,20,4369
775,2834352,40,33,4353
776,2834739,40,33,4353
777,2835134,50,53,4358
778,2835528,50,53,4358
779,2835928,50,53,4358
780,2836326,49,45,4391
781,2836720,49,45,4391
782,2837108,78,38,4416
783,2837496,78,38,4416
784,2837885,78,38,4416
785,2838280,62,50,4408
786,2838669,62,50,4408
787,2839070,29,64,4404
788,2839445,29,64,4404
789,2839841,29,64,4404
790,2840229,15,58,4400
791,2840624,15,58,4400
792,2841018,41,61,4374
793,2841409,41,61,4374
794,2841799,41,61,4374
795,2842194,65,57,4349
796,2842582,65,57,4349
797,2842979,65,57,4349
798,2843373,30,57,4354
799,2843752,30,57,4354
800,2844127,40,48,4386
801,2844527,40,48,4386
802,2844914,40,48,4386
803,2845318,51,30,4376
804,2845705,51,30,4376
805,2846099,0,25,4376
806,2846482,0,25,4376
807,2846877,0,25,4376
808,2847264,-1,13,4376
809,2847672,-1,13,4376
810,2848076,31,30,4384
811,2848471,31,30,4384
812,2848859,31,30,4384
813,2849258,25,38,4401
814,2849647,25,38,4401
815,2850044,29,35,4382
816,2850430,29,35,4382
817,2850826,29,35,4382
818,2851220,33,56,4363
819,2851628,33,56,4363
820,2852019,42,62,4352
821,2852411,42,62,4352
822,2852802,42,62,4352
823,2853201,27,55,4384
824,2853594,27,55,4384
825,2853998,27,55,4384
826,2854391,18,54,4368
827,2854777,18,54,4368
828,2855171,15,47,4346
829,2855573,15,47,4346
830,2855971,15,47,4346
831,2856371,-13,53,4376
832,2856766,-13,53,4376
833,2857174,34,71,4375
834,2857562,34,71,4375
835,2857966,34,71,4375
836,2858360,77,42,4348
837,2858748,77,42,4348
838,2859142,42,25,4335
839,2859536,42,25,4335
840,2859929,42,25,4335
841,2860332,28,46,4370
842,2860719,28,46,4370
843,2861119,16,41,4383
844,2861513,16,41,4383
845,2861907,16,41,4383
846,2862307,-14,35,4363
847,2862707,-14,35,4363
848,2863110,1,51,4374
849,2863503,1,51,4374
850,2863890,1,51,4374
851,2864292,13,63,4389
852,2864685,13,63,4389
853,2865084,0,52,4374
854,2865473,0,52,4374
855,2865866,0,52,4374
856,2866260,-11,51,4340
857,2866660,-11,51,4340
858,2867066,8,61,4334
859,2867445,8,61,4334
860,2867840,8,61,4334
861,2868238,41,41,4352
862,2868632,41,41,4352
863,2869040,49,30,4344
864,2869419,49,30,4344
865,2869816,49,30,4344
866,2870209,37,37,4350
867,2870609,37,37,4350
868,2871007,37,37,4350
869,2871399,33,31,4387
870,2871780,33,31,4387
871,2872180,33,44,4405
872,2872573,33,44,4405
873,2872978,33,44,4405
874,2873365,53,61,4378
875,2873752,53,61,4378
876,2874146,45,44,4361
877,2874546,45,44,4361
878,2874940,45,44,4361
879,2875343,3,27,4384
880,2875731,3,27,4384
881,2876130,15,45,4373
882,2876523,15,45,4373
883,2876922,15,45,4373
884,2877317,38,43,4363
885,2877716,38,43,4363
886,2878102,34,36,4379
887,2878495,34,36,4379
888,2878889,34,36,4379
889,2879292,37,24,4385
890,2879685,37,24,4385
891,2880086,42,35,4393
892,2880471,42,35,4393
893,2880865,42,35,4393
894,2881258,40,66,4378
895,2881658,40,66,4378
896,2882056,33,56,4374
897,2882436,33,56,4374
898,2882827,33,56,4374
899,2883218,38,21,4376
900,2883593,38,21,4376
901,2883996,38,21,4376
902,2884384,64,28,4359
903,2884771,64,28,4359
904,2885159,27,51,4353
905,2885554,27,51,4353
906,2885943,27,51,4353
907,2886347,25,39,4360
908,2886736,25,39,4360
909,2887135,47,35,4381
910,2887525,47,35,4381
911,2887918,47,35,4381
912,2888311,-4,30,4360
913,2888712,-4,30,4360
914,2889113,11,27,4340
915,2889516,11,27,4340
916,2889904,11,27,4340
917,2890308,60,53,4369
918,2890698,60,53,4369
919,2891091,60,67,4398
920,2891474,60,67,4398
921,2891868,60,67,4398
922,2892262,64,50,4377
923,2892657,64,50,4377
924,2893054,69,61,4353
925,2893440,69,61,4353
926,2893823,69,61,4353
927,2894205,31,55,4367
928,2894599,31,55,4367
929,2895003,31,55,4367
930,2895390,-18,40,4355
931,2895785,-18,40,4355
932,2896186,14,39,4349
933,2896581,14,39,4349
934,2896972,14,39,4349
935,2897366,73,37,4359
936,2897747,73,37,4359
937,2898142,58,19,4367
938,2898532,58,19,4367
939,2898930,58,19,4367
940,2899328,37,4,4344
941,2899722,37,4,4344
942,2900115,74,26,4343
943,2900508,74,26,4343
944,2900902,74,26,4343
945,2901305,72,42,4378
946,2901699,72,42,4378
947,2902104,16,53,4384
948,2902486,16,53,4384
949,2902885,16,53,4384
950,2903285,54,47,4385
951,2903683,54,47,4385
952,2904077,64,34,4388
953,2904472,64,34,4388
954,2904860,64,34,4388
955,2905259,9,55,4381
956,2905652,9,55,4381
957,2906056,59,58,4401
958,2906436,59,58,4401
959,2906829,59,58,4401
960,2907221,88,44,4422
961,2907626,88,44,4422
962,2908024,24,43,4402
963,2908410,24,43,4402
964,2908800,24,43,4402
965,2909200,4,40,4376
966,2909593,4,40,4376
967,2909996,4,40,4376
968,2910390,51,31,4365
969,2910777,51,31,4365
970,2911170,51,25,4392
971,2911570,51,25,4392
972,2911975,51,25,4392
973,2912367,16,31,4372
974,2912748,16,31,4372
975,2913148,48,32,4369
976,2913537,48,32,4369
977,2913931,48,32,4369
978,2914328,64,40,4371
979,2914727,64,40,4371
980,2915121,16,37,4367
981,2915525,16,37,4367
982,2915917,16,37,4367
983,2916320,7,42,4384
984,2916707,7,42,4384
985,2917106,34,50,4357
986,2917494,34,50,4357
987,2917894,34,50,4357
988,2918291,45,66,4364
989,2918690,45,66,4364
990,2919084,27,50,4370
991,2919481,27,50,4370
992,2919870,27,50,4370
993,2920269,21,18,4389
994,2920661,21,18,4389
995,2921071,45,34,4400
996,2921445,45,34,4400
997,2921843,45,34,4400
998,2922237,53,37,4386
999,2922634,53,37,4386
1000,2923030,34,50,4416
1001,2923421,34,50,4416
1002,2923812,34,50,4416
1003,2924211,50,76,4415
1004,2924605,50,76,4415
1005,2925010,80,65,4365
1006,2925395,80,65,4365
1007,2925783,80,65,4365
1008,2926177,39,45,4337
1009,2926577,39,45,4337
1010,2926975,39,45,4337
1011,2927354,18,56,4361
1012,2927735,18,56,4361
1013,2928133,63,62,4388
1014,2928531,63,62,4388
1015,2928918,63,62,4388
1016,2929310,56,55,4355
1017,2929705,56,55,4355
1018,2930093,30,48,4316
1019,2930482,30,48,4316
1020,2930870,30,48,4316
1021,2931264,49,30,4348
1022,2931653,49,30,4348
1023,2932051,53,21,4388
1024,2932432,53,21,4388
1025,2932830,53,21,4388
1026,2933219,25,23,4347
1027,2933619,25,23,4347
1028,2934013,10,40,4312
1029,2934404,10,40,4312
1030,2934796,10,40,4312
1031,2935190,56,48,4344
1032,2935578,56,48,4344
1033,2935975,56,48,4344
1034,2936363,70,44,4358
1035,2936750,70,44,4358
1036,2937138,24,26,4380
1037,2937535,24,26,4380
1038,2937924,24,26,4380
1039,2938326,16,14,4376
1040,2938715,16,14,4376
1041,2939110,17,47,4350
1042,2939493,17,47,4350
1043,2939888,17,47,4350
1044,2940276,19,63,4395
1045,2940671,19,63,4395
1046,2941063,32,59,4392
1047,2941444,32,59,4392
1048,2941835,32,59,4392
1049,2942229,60,74,4365
1050,2942617,60,74,4365
1051,2943016,65,77,4382
1052,2943397,65,77,4382
1053,2943777,65,77,4382
1054,2944155,58,55,4384
1055,2944550,58,55,4384
1056,2944949,58,55,4384
1057,2945343,59,59,4380
1058,2945730,59,59,4380
1059,2946131,33,53,4350
1060,2946515,33,53,4350
1061,2946915,33,53,4350
1062,2947313,24,40,4364
1063,2947712,24,40,4364
1064,2948106,30,41,4385
1065,2948497,30,41,4385
1066,2948884,30,41,4385
1067,2949280,32,39,4376
1068,2949669,32,39,4376
1069,2950072,33,54,4378
1070,2950447,33,54,4378
1071,2950843,33,54,4378
1072,2951232,49,47,4396
1073,2951632,49,47,4396
1074,2952025,58,48,4416
1075,2952417,58,48,4416
1076,2952809,58,48,4416
1077,2953208,41,48,4379
1078,2953596,41,48,4379
1079,2954001,41,48,4379
1080,2954387,58,32,4361
1081,2954774,58,32,4361
1082,2955163,48,29,4350
1083,2955560,48,29,4350
1084,2955954,48,29,4350
1085,2956354,-16,35,4353
1086,2956749,-16,35,4353
1087,2957156,2,44,4355
1088,2957552,2,44,4355
1089,2957950,2,44,4355
1090,2958344,51,37,4358
1091,2958737,51,37,4358
1092,2959132,20,41,4362
1093,2959521,20,41,4362
1094,2959908,20,41,4362
1095,2960310,16,52,4362
1096,2960679,16,52,4362
1097,2961063,61,54,4384
1098,2961436,61,54,4384
1099,2961834,61,54,4384
1100,2962234,28,67,4359
1101,2962628,28,67,4359
1102,2963024,-5,49,4329
1103,2963423,-5,49,4329
1104,2963820,-5,49,4329
1105,2964232,18,42,4368
1106,2964618,18,42,4368
1107,2965029,49,56,4400
1108,2965409,49,56,4400
1109,2965806,49,56,4400
1110,2966199,26,42,4390
1111,2966598,26,42,4390
1112,2966996,26,42,4390
1113,2967396,11,51,4377
1114,2967777,11,51,4377
1115,2968176,54,64,4400
1116,2968572,54,64,4400
1117,2968976,54,64,4400
1118,2969370,20,41,4432
1119,2969758,20,41,4432
1120,2970151,8,31,4405
1121,2970546,8,31,4405
1122,2970940,8,31,4405
