sample_index,micros,ax,ay,az
292139,293754029,-35,38,4404
292140,293755029,-48,32,4429
292141,293756029,-44,43,4405
292142,293757028,-34,60,4371
292143,293758029,-27,60,4371
292144,293759028,-41,51,4362
292145,293760029,-56,59,4372
292146,293761028,-60,56,4375
292147,293762029,-61,49,4385
292148,293763029,-51,41,4397
292149,293764028,-46,35,4376
292150,293765029,-55,42,4373
292151,293766028,-57,55,4363
292152,293767029,-74,54,4368
292153,293768029,-66,60,4383
292154,293769029,-50,63,4386
292155,293770028,-54,48,4377
292156,293771028,-49,45,4373
292157,293772029,-60,49,4367
292158,293773028,-41,52,4361
292159,293774029,-51,54,4375
292160,293775029,-81,46,4363
292161,293776028,-67,68,4359
292162,293777029,-66,75,4370
292163,293778029,-56,56,4374
292164,293779029,-42,56,4386
292165,293780028,-54,60,4386
292166,293781029,-71,57,4379
292167,293782029,-57,58,4412
292168,293783028,-21,81,4399
292169,293784029,-43,82,4376
292170,293785029,-53,64,4381
292171,293786029,-51,65,4376
292172,293787028,-64,73,4353
292173,293788029,-43,57,4348
292174,293789029,-28,33,4382
292175,293790029,-23,45,4373
292176,293791029,-30,52,4358
292177,293792028,-41,61,4365
292178,293793029,-48,72,4357
292179,293794029,-56,71,4369
292180,293795029,-52,59,4397
292181,293796028,-55,53,4377
292182,293797028,-47,57,4365
292183,293798029,-59,54,4386
292184,293799028,-71,60,4384
292185,293800028,-53,67,4364
292186,293801028,-49,76,4378
292187,293802029,-36,77,4361
292188,293803029,-51,77,4343
292189,293804029,-46,74,4372
292190,293805029,-38,51,4377
292191,293806029,-56,34,4359
292192,293807028,-53,30,4379
292193,293808029,-38,33,4390
292194,293809029,-47,51,4374
292195,293810028,-65,47,4381
292196,293811029,-58,28,4374
292197,293812028,-52,49,4374
292198,293813029,-64,73,4383
292199,293814029,-62,65,4367
292200,293815029,-57,62,4385
292201,293816029,-47,61,4396
292202,293817029,-25,59,4403
292203,293818029,-37,56,4396
292204,293819029,-59,48,4369
292205,293820029,-62,55,4367
292206,293821029,-45,58,4357
292207,293822028,-45,48,4352
292208,293823029,-44,47,4360
292209,293824029,-26,58,4366
292210,293825029,-31,67,4376
292211,293826029,-42,53,4405
292212,293827029,-39,52,4353
292213,293828028,-40,62,4354
292214,293829029,-49,61,4397
292215,293830028,-50,49,4380
292216,293831029,-38,37,4366
292217,293832029,-53,51,4376
292218,293833028,-73,41,4370
292219,293834029,-53,43,4338
292220,293835028,-26,65,4340
292221,293836029,-28,59,4357
292222,293837028,-36,67,4387
292223,293838028,-36,54,4383
292224,293839028,-46,53,4371
292225,293840028,-53,72,4390
292226,293841029,-45,52,4377
292227,293842028,-44,53,4355
292228,293843029,-50,50,4355
292229,293844029,-66,25,4381
292230,293845029,-70,31,4414
292231,293846029,-48,48,4415
292232,293847029,-52,48,4402
292233,293848029,-60,27,4386
292234,293849029,-38,40,4383
292235,293850029,-24,67,4392
292236,293851029,-23,56,4390
292237,293852029,-30,57,4381
292238,293853029,-51,51,4371
292239,293854028,-60,42,4358
292240,293855029,-56,54,4370
292241,293856029,-52,55,4381
292242,293857029,-65,49,4373
292243,293858029,-78,53,4355
292244,293859028,-64,61,4351
292245,293860028,-49,47,4384
292246,293861028,-37,26,4404
292247,293862028,-49,42,4364
292248,293863028,-63,54,4358
292249,293864029,-58,38,4366
292250,293865029,-49,39,4346
292251,293866029,-56,54,4347
292252,293867029,-65,45,4349
292253,293868029,-61,58,4370
292254,293869029,-48,54,4397
292255,293870029,-39,30,4382
292256,293871029,-52,60,4365
292257,293872029,-41,60,4374
292258,293873028,-33,46,4388
292259,293874029,-48,44,4390
292260,293875029,-45,56,4377
292261,293876028,-49,63,4364
292262,293877029,-63,54,4359
292263,293878029,-55,56,4378
292264,293879029,-63,77,4391
292265,293880029,-59,91,4376
292266,293881028,-54,79,4357
292267,293882029,-64,73,4357
292268,293883029,-59,66,4375
292269,293884029,-61,52,4384
292270,293885029,-48,46,4365
292271,293886029,-36,57,4365
292272,293887029,-49,62,4386
292273,293888028,-54,70,4376
292274,293889029,-57,64,4360
292275,293890029,-35,46,4381
292276,293891029,-23,37,4381
292277,293892028,-30,43,4367
292278,293893028,-28,56,4386
292279,293894028,-39,55,4378
292280,293895029,-35,70,4363
292281,293896029,-28,83,4402
292282,293897029,-37,72,4417
292283,293898028,-47,69,4377
292284,293899028,-42,57,4352
292285,293900028,-34,56,4376
292286,293901028,-66,66,4392
292287,293902029,-76,58,4385
292288,293903029,-41,46,4376
292289,293904029,-22,52,4370
292290,293905029,-33,75,4342
292291,293906029,-44,67,4334
292292,293907029,-37,50,4343
292293,293908028,-40,52,4321
292294,293909029,-52,52,4337
292295,293910029,-52,49,4374
292296,293911029,-53,48,4377
292297,293912029,-66,49,4373
292298,293913029,-61,43,4366
292299,293914029,-52,63,4375
292300,293915029,-59,82,4394
292301,293916029,-77,79,4393
292302,293917029,-55,67,4389
292303,293918028,-30,40,4351
292304,293919029,-39,38,4334
292305,293920029,-28,41,4364
292306,293921029,-51,50,4388
292307,293922029,-71,68,4397
292308,293923029,-43,70,4400
292309,293924029,-58,76,4380
292310,293925029,-83,79,4376
292311,293926029,-70,69,4401
292312,293927029,-50,67,4402
292313,293928029,-37,56,4366
292314,293929029,-24,47,4369
292315,293930028,-19,53,4391
292316,293931029,-19,53,4408
292317,293932029,-20,68,4419
292318,293933028,-19,68,4363
292319,293934029,-47,51,4336
292320,293935029,-51,50,4355
292321,293936029,-37,45,4368
292322,293937029,-61,56,4388
292323,293938029,-73,58,4384
292324,293939029,-63,60,4387
292325,293940028,-58,57,4386
292326,293941029,-50,51,4372
292327,293942029,-60,70,4362
292328,293943029,-67,59,4349
292329,293944028,-44,40,4341
292330,293945029,-35,50,4359
292331,293946029,-49,59,4357
292332,293947029,-62,49,4365
292333,293948029,-33,45,4384
292334,293949029,-5,51,4354
292335,293950029,-28,61,4358
292336,293951028,-52,67,4396
292337,293952029,-50,64,4396
292338,293953029,-51,58,4402
292339,293954028,-36,46,4402
292340,293955029,-49,54,4381
292341,293956028,-61,59,4386
292342,293957029,-45,49,4375
292343,293958029,-49,52,4361
292344,293959029,-55,52,4367
292345,293960028,-49,40,4373
292346,293961029,-54,51,4381
292347,293962029,-56,58,4391
292348,293963029,-49,54,4394
292349,293964028,-44,60,4399
292350,293965029,-40,63,4379
292351,293966029,-35,64,4368
292352,293967029,-38,69,4359
292353,293968029,-37,79,4352
292354,293969029,-47,72,4347
292355,293970028,-67,64,4350
292356,293971029,-49,60,4399
292357,293972029,-51,49,4418
292358,293973029,-51,32,4385
292359,293974029,-38,33,4370
292360,293975029,-48,50,4392
292361,293976029,-56,51,4379
292362,293977029,-40,58,4366
292363,293978028,-39,68,4385
292364,293979029,-39,60,4393
292365,293980028,-30,58,4377
292366,293981029,-31,40,4361
292367,293982029,-32,34,4366
292368,293983028,-41,43,4370
292369,293984029,-40,46,4363
292370,293985029,-36,69,4379
292371,293986029,-52,74,4392
292372,293987029,-57,55,4372
292373,293988029,-37,51,4371
292374,293989029,-25,56,4383
292375,293990029,-43,49,4379
292376,293991029,-48,54,4373
292377,293992028,-48,59,4384
292378,293993029,-57,48,4382
292379,293994029,-53,34,4376
292380,293995029,-58,47,4363
292381,293996029,-46,59,4365
292382,293997028,-43,61,4391
292383,293998029,-59,56,4384
292384,293999028,-67,40,4364
292385,294000029,-51,51,4373
292386,294001029,-43,39,4374
292387,294002029,-48,39,4367
292388,294003029,-55,64,4403
292389,294004029,-56,54,4432
292390,294005028,-68,33,4370
292391,294006028,-79,52,4311
292392,294007029,-53,72,4339
292393,294008029,-37,67,4370
292394,294009028,-54,66,4375
292395,294010029,-46,65,4359
292396,294011029,-32,56,4341
292397,294012029,-54,50,4353
292398,294013028,-55,58,4357
292399,294014029,-48,69,4358
292400,294015029,-38,58,4375
292401,294016028,-44,42,4387
292402,294017029,-61,44,4400
292403,294018029,-47,54,4388
292404,294019029,-46,55,4374
292405,294020029,-65,44,4387
292406,294021029,-62,30,4384
292407,294022029,-55,48,4372
292408,294023029,-54,59,4380
292409,294024029,-56,42,4373
292410,294025029,-61,54,4357
292411,294026029,-45,62,4355
292412,294027029,-54,69,4353
292413,294028029,-79,60,4361
292414,294029029,-51,49,4376
292415,294030028,-44,64,4370
292416,294031029,-65,58,4352
292417,294032029,-34,64,4360
292418,294033029,-10,63,4379
292419,294034029,-31,54,4391
292420,294035028,-30,64,4405
292421,294036029,-40,79,4407
292422,294037029,-59,68,4392
292423,294038029,-58,67,4386
292424,294039029,-49,80,4372
292425,294040029,-48,60,4368
292426,294041028,-57,59,4362
292427,294042028,-42,69,4364
292428,294043029,-43,54,4403
292429,294044029,-52,39,4397
292430,294045028,-62,56,4382
292431,294046029,-66,61,4378
292432,294047029,-52,42,4359
292433,294048028,-50,41,4363
292434,294049029,-67,63,4380
292435,294050029,-56,67,4377
292436,294051029,-24,53,4359
292437,294052028,-34,63,4362
292438,294053028,-52,69,4348
292439,294054029,-63,48,4358
292440,294055029,-57,30,4395
292441,294056028,-42,33,4401
292442,294057029,-68,46,4386
292443,294058029,-63,47,4387
292444,294059029,-33,58,4405
292445,294060028,-41,69,4409
