row,seconds,esp32_index,micros,v0,v1
317,30.040347,379,30040164,-201,72,4392
318,30.040742,380,30040559,-201,72,4392
319,30.041149,381,30040966,-201,72,4392
320,30.041551,382,30041368,-179,70,4397
321,30.041940,383,30041757,-179,70,4397
322,30.042341,384,30042158,-184,85,4415
323,30.042744,385,30042561,-184,85,4415
324,30.043144,386,30042961,-184,85,4415
325,30.043546,387,30043363,-219,89,4368
326,30.043935,388,30043752,-219,89,4368
327,30.044335,389,30044152,-197,61,4351
328,30.044732,390,30044549,-197,61,4351
329,30.045132,391,30044949,-197,61,4351
330,30.045529,392,30045346,-163,59,4379
331,30.045919,393,30045736,-163,59,4379
332,30.046320,394,30046137,-189,61,4378
333,30.046723,395,30046540,-189,61,4378
334,30.047130,396,30046947,-189,61,4378
335,30.047532,397,30047349,-205,66,4355
336,30.047921,398,30047738,-205,66,4355
337,30.048304,399,30048121,-182,74,4356
338,30.048695,400,30048512,-182,74,4356
339,30.049083,401,30048900,-182,74,4356
340,30.049482,402,30049299,-194,76,4410
341,30.049878,403,30049695,-194,76,4410
342,30.050280,404,30050097,-200,64,4410
343,30.050676,405,30050493,-200,64,4410
344,30.051074,406,30050891,-200,64,4410
345,30.051484,407,30051301,-203,56,4390
346,30.051879,408,30051696,-203,56,4390
347,30.052283,409,30052100,-212,80,4410
348,30.052673,410,30052490,-212,80,4410
349,30.053062,411,30052879,-212,80,4410
350,30.053467,412,30053284,-183,71,4367
351,30.053869,413,30053686,-183,71,4367
352,30.054269,414,30054086,-191,47,4325
353,30.054662,415,30054479,-191,47,4325
354,30.055051,416,30054868,-191,47,4325
355,30.055456,417,30055273,-190,74,4369
356,30.055852,418,30055669,-190,74,4369
357,30.056249,419,30056066,-149,93,4339
358,30.056642,420,30056459,-149,93,4339
359,30.057038,421,30056855,-149,93,4339
360,30.057433,422,30057250,-188,89,4306
361,30.057828,423,30057645,-188,89,4306
362,30.058232,424,30058049,-188,89,4306
363,30.058631,425,30058448,-245,77,4356
364,30.059019,426,30058836,-245,77,4356
365,30.059421,427,30059238,-229,71,4391
366,30.059822,428,30059639,-229,71,4391
367,30.060226,429,30060043,-229,71,4391
368,30.060613,430,30060430,-227,88,4365
369,30.061013,431,30060830,-227,88,4365
370,30.061413,432,30061230,-189,80,4343
371,30.061807,433,30061624,-189,80,4343
372,30.062210,434,30062027,-189,80,4343
373,30.062604,435,30062421,-165,66,4389
374,30.063003,436,30062820,-165,66,4389
375,30.063405,437,30063222,-219,56,4385
376,30.063801,438,30063618,-219,56,4385
377,30.064207,439,30064024,-219,56,4385
378,30.064600,440,30064417,-216,40,4359
379,30.064999,441,30064816,-216,40,4359
380,30.065400,442,30065217,-183,26,4359
381,30.065803,443,30065620,-183,26,4359
382,30.066191,444,30066008,-183,26,4359
383,30.066582,445,30066399,-223,53,4398
384,30.066988,446,30066805,-223,53,4398
385,30.067382,447,30067199,-226,70,4405
386,30.067784,448,30067601,-226,70,4405
387,30.068184,449,30068001,-226,70,4405
388,30.068584,450,30068401,-176,78,4356
389,30.068981,451,30068798,-176,78,4356
390,30.069373,452,30069190,-212,86,4350
391,30.069742,453,30069559,-212,86,4350
392,30.070162,454,30069979,-212,86,4350
393,30.070556,455,30070373,-183,67,4361
394,30.070953,456,30070770,-183,67,4361
395,30.071348,457,30071165,-142,66,4373
396,30.071744,458,30071561,-142,66,4373
397,30.072153,459,30071970,-142,66,4373
398,30.072548,460,30072365,-203,72,4417
399,30.072937,461,30072754,-203,72,4417
400,30.073339,462,30073156,-215,79,4411
401,30.073735,463,30073552,-215,79,4411
402,30.074144,464,30073961,-215,79,4411
403,30.074544,465,30074361,-166,68,4389
404,30.074934,466,30074751,-166,68,4389
405,30.075330,467,30075147,-189,74,4412
406,30.075731,468,30075548,-189,74,4412
407,30.076143,469,30075960,-189,74,4412
408,30.076543,470,30076360,-189,92,4402
409,30.076939,471,30076756,-189,92,4402
410,30.077341,472,30077158,-159,70,4351
411,30.077736,473,30077553,-159,70,4351
412,30.078142,474,30077959,-159,70,4351
413,30.078538,475,30078355,-200,57,4344
414,30.078928,476,30078745,-200,57,4344
415,30.079325,477,30079142,-161,70,4367
416,30.079724,478,30079541,-161,70,4367
417,30.080129,479,30079946,-161,70,4367
418,30.080524,480,30080341,-164,70,4376
419,30.080914,481,30080731,-164,70,4376
420,30.081311,482,30081128,-227,104,4365
421,30.081707,483,30081524,-227,104,4365
422,30.082100,484,30081917,-227,104,4365
423,30.082500,485,30082317,-194,106,4339
424,30.082894,486,30082711,-194,106,4339
425,30.083296,487,30083113,-210,76,4323
426,30.083699,488,30083516,-210,76,4323
427,30.084105,489,30083922,-210,76,4323
428,30.084506,490,30084323,-212,83,4342
429,30.084902,491,30084719,-212,83,4342
430,30.085304,492,30085121,-175,70,4391
431,30.085705,493,30085522,-175,70,4391
432,30.086103,494,30085920,-175,70,4391
433,30.086494,495,30086311,-188,70,4387
434,30.086896,496,30086713,-188,70,4387
435,30.087298,497,30087115,-191,85,4369
436,30.087696,498,30087513,-191,85,4369
437,30.088107,499,30087924,-191,85,4369
438,30.088508,500,30088325,-190,75,4375
439,30.088897,501,30088714,-190,75,4375
440,30.089293,502,30089110,-197,61,4399
441,30.089691,503,30089508,-197,61,4399
442,30.090091,504,30089908,-197,61,4399
443,30.090503,505,30090320,-202,54,4421
444,30.090905,506,30090722,-202,54,4421
445,30.091307,507,30091124,-188,60,4417
446,30.091702,508,30091519,-188,60,4417
447,30.092114,509,30091931,-188,60,4417
448,30.092516,510,30092333,-190,71,4397
449,30.092905,511,30092722,-190,71,4397
450,30.093314,512,30093131,-211,57,4397
451,30.093709,513,30093526,-211,57,4397
452,30.094122,514,30093939,-211,57,4397
453,30.094524,515,30094341,-218,63,4387
454,30.094913,516,30094730,-218,63,4387
455,30.095322,517,30095139,-213,93,4365
456,30.095715,518,30095532,-213,93,4365
457,30.096125,519,30095942,-213,93,4365
458,30.096526,520,30096343,-183,83,4345
459,30.096915,521,30096732,-183,83,4345
460,30.097324,522,30097141,-197,73,4359
461,30.097725,523,30097542,-197,73,4359
462,30.098131,524,30097948,-197,73,4359
463,30.098533,525,30098350,-213,60,4383
464,30.098923,526,30098740,-213,60,4383
465,30.099324,527,30099141,-206,64,4392
466,30.099725,528,30099542,-206,64,4392
467,30.100131,529,30099948,-206,64,4392
468,30.100533,530,30100350,-192,84,4402
469,30.100929,531,30100746,-192,84,4402
470,30.101329,532,30101146,-210,82,4359
471,30.101731,533,30101548,-210,82,4359
472,30.102135,534,30101952,-210,82,4359
473,30.102537,535,30102354,-209,82,4366
474,30.102906,536,30102723,-209,82,4366
475,30.103304,537,30103121,-179,86,4388
476,30.103709,538,30103526,-179,86,4388
477,30.104115,539,30103932,-179,86,4388
478,30.104516,540,30104333,-193,91,4385
479,30.104912,541,30104729,-193,91,4385
480,30.105313,542,30105130,-171,80,4380
481,30.105715,543,30105532,-171,80,4380
482,30.106122,544,30105939,-171,80,4380
483,30.106524,545,30106341,-171,74,4377
484,30.106919,546,30106736,-171,74,4377
485,30.107322,547,30107139,-199,80,4392
486,30.107716,548,30107533,-199,80,4392
487,30.108118,549,30107935,-199,80,4392
488,30.108504,550,30108321,-199,97,4376
489,30.108893,551,30108710,-199,97,4376
490,30.109294,552,30109111,-198,107,4397
491,30.109699,553,30109516,-198,107,4397
492,30.110099,554,30109916,-198,107,4397
493,30.110501,555,30110318,-204,106,4402
494,30.110895,556,30110712,-204,106,4402
495,30.111293,557,30111110,-193,91,4360
496,30.111696,558,30111513,-193,91,4360
497,30.112092,559,30111909,-193,91,4360
498,30.112498,560,30112315,-192,62,4381
499,30.112894,561,30112711,-192,62,4381
500,30.113296,562,30113113,-199,73,4419
501,30.113698,563,30113515,-199,73,4419
502,30.114111,564,30113928,-199,73,4419
503,30.114505,565,30114322,-182,96,4391
504,30.114902,566,30114719,-182,96,4391
505,30.115298,567,30115115,-189,108,4385
506,30.115701,568,30115518,-189,108,4385
507,30.116106,569,30115923,-189,108,4385
508,30.116507,570,30116324,-194,90,4386
509,30.116903,571,30116720,-194,90,4386
510,30.117305,572,30117122,-173,104,4355
511,30.117702,573,30117519,-173,104,4355
512,30.118108,574,30117925,-173,104,4355
513,30.118510,575,30118327,-181,118,4372
514,30.118906,576,30118723,-181,118,4372
515,30.119307,577,30119124,-185,72,4387
516,30.119695,578,30119512,-185,72,4387
517,30.120091,579,30119908,-185,72,4387
518,30.120497,580,30120314,-173,58,4397
