sample_index,micros,ax,ay,az
28173,61924145,3287,-519,8654
28174,61924534,3287,-519,8654
28175,61924926,-4011,-1470,5725
28176,61925349,-4011,-1470,5725
28177,61925766,-2139,-1205,5685
28178,61926177,-2139,-1205,5685
28179,61926598,-2139,-1205,5685
28180,61927006,2155,60,6118
28181,61927406,2155,60,6118
28182,61927802,3478,84,3588
28183,61928202,3478,84,3588
28184,61928598,3478,84,3588
28185,61929004,2611,-644,3377
28186,61929414,2611,-644,3377
28187,61929822,3368,-509,5854
28188,61930226,3368,-509,5854
28189,61930635,3368,-509,5854
28190,61931026,1385,-208,7148
28191,61931431,1385,-208,7148
28192,61931826,-2051,-749,4809
28193,61932243,-2051,-749,4809
28194,61932655,-2051,-749,4809
28195,61933077,105,-1229,2877
28196,61933480,105,-1229,2877
28197,61933881,3909,-395,3125
28198,61934271,3909,-395,3125
28199,61934680,3909,-395,3125
28200,61935083,8497,559,2995
28201,61935485,8497,559,2995
28202,61935881,8667,895,1370
28203,61936271,8667,895,1370
28204,61936660,8667,895,1370
28205,61937065,5903,858,589
28206,61937462,5903,858,589
28207,61937862,4630,735,2526
28208,61938245,4630,735,2526
28209,61938646,4630,735,2526
28210,61939039,2880,922,6208
28211,61939441,2880,922,6208
28212,61939836,3028,1071,8409
28213,61940231,3028,1071,8409
28214,61940628,3028,1071,8409
28215,61941034,3015,663,7645
28216,61941429,3015,663,7645
28217,61941828,-2519,342,6804
28218,61942233,-2519,342,6804
28219,61942634,-2519,342,6804
28220,61943049,-6671,677,6699
28221,61943459,-6671,677,6699
28222,61943861,-6447,1321,6376
28223,61944258,-6447,1321,6376
28224,61944667,-6447,1321,6376
28225,61945068,-5609,1723,6292
28226,61945487,-5609,1723,6292
28227,61945877,-7314,1624,5961
28228,61946281,-7314,1624,5961
28229,61946684,-7314,1624,5961
28230,61947079,-8817,1471,5138
28231,61947478,-8817,1471,5138
28232,61947881,-11045,1167,5185
28233,61948278,-11045,1167,5185
28234,61948686,-11045,1167,5185
28235,61949084,-8652,-524,4202
28236,61949509,-8652,-524,4202
28237,61949904,19379,-1947,-1927
28238,61950330,19379,-1947,-1927
28239,61950734,29246,-947,-4434
28240,61951159,29246,-947,-4434
28241,61951564,29246,-947,-4434
28242,61951979,1232,-367,311
28243,61952375,1232,-367,311
28244,61952790,-20191,-999,2866
28245,61953201,-20191,-999,2866
28246,61953624,-20191,-999,2866
28247,61954039,-20544,-452,3863
28248,61954458,-20544,-452,3863
28249,61954868,-2590,-349,6829
28250,61955280,-2590,-349,6829
28251,61955690,-2590,-349,6829
28252,61956113,5812,-1677,7439
28253,61956518,5812,-1677,7439
28254,61956912,-5120,-1397,5873
28255,61957332,-5120,-1397,5873
28256,61957754,-2338,-200,6380
28257,61958165,-2338,-200,6380
28258,61958583,-2338,-200,6380
28259,61958994,7138,249,4921
28260,61959388,7138,249,4921
28261,61959782,2251,-164,2894
28262,61960186,2251,-164,2894
28263,61960584,2251,-164,2894
28264,61960998,82,-677,4251
28265,61961399,82,-677,4251
28266,61961808,3555,-365,6892
28267,61962211,3555,-365,6892
28268,61962620,3555,-365,6892
28269,61963028,543,-642,6405
28270,61963442,543,-642,6405
28271,61963842,-2607,-1122,3380
28272,61964258,-2607,-1122,3380
28273,61964676,-2607,-1122,3380
28274,61965094,2098,-777,2989
28275,61965492,2098,-777,2989
28276,61965893,8282,162,3447
28277,61966289,8282,162,3447
28278,61966691,8282,162,3447
28279,61967086,9504,851,1916
28280,61967489,9504,851,1916
28281,61967885,6499,832,604
28282,61968274,6499,832,604
28283,61968670,6499,832,604
28284,61969073,5152,702,1562
28285,61969471,5152,702,1562
28286,61969870,3713,800,4695
28287,61970253,3713,800,4695
28288,61970654,3713,800,4695
28289,61971055,2092,963,7627
28290,61971446,2092,963,7627
28291,61971836,3322,758,7887
28292,61972231,3322,758,7887
28293,61972626,3322,758,7887
28294,61973038,-218,337,7128
28295,61973441,-218,337,7128
28296,61973849,-5668,469,6973
28297,61974247,-5668,469,6973
28298,61974655,-5668,469,6973
28299,61975063,-6964,991,6718
28300,61975471,-6964,991,6718
28301,61975867,-6230,1580,6409
28302,61976270,-6230,1580,6409
28303,61976674,-6230,1580,6409
28304,61977087,-6039,1750,6247
28305,61977492,-6039,1750,6247
28306,61977893,-8026,1536,5339
28307,61978293,-8026,1536,5339
28308,61978709,-8026,1536,5339
28309,61979113,-11380,1308,4848
28310,61979527,-11380,1308,4848
28311,61979915,-11335,1146,6086
28312,61980332,-11335,1146,6086
28313,61980702,-11335,1146,6086
28314,61981094,3681,-1113,1155
28315,61981505,3681,-1113,1155
28316,61981895,25355,-1877,-5618
28317,61982319,25355,-1877,-5618
28318,61982730,26527,-624,-3078
28319,61983147,26527,-624,-3078
28320,61983561,26527,-624,-3078
